,Region,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,2105,2110,2115,2120,2125,2130,2135,2140,2145,2150
AP,SEAS,1.51417,1.137877319,0.876636559,0.80077185,0.751546912,0.705183839,0.658651551,0.613340981,0.571636784,0.532326761,0.491990259,0.449441829,0.406937981,0.367288984,0.330822774,0.296907125,0.267050861,0.356142499,0.356142068,0.356141562,0.356141519,0.356141491,0.356141254,0.356141198,0.356140978,0.356140904,0.356140727
AP,INDO,1.63506,1.228724443,0.946626451,0.86470477,0.811549756,0.761485096,0.711237711,0.662309585,0.617275761,0.574827261,0.531270329,0.485324869,0.439427551,0.396613014,0.357235374,0.320611929,0.288371966,0.384576603,0.384576137,0.384575591,0.384575545,0.384575514,0.384575259,0.384575197,0.384574961,0.38457488,0.38457469
AP,JAP,1.06462,0.800046858,0.61636726,0.563026428,0.528416144,0.495818051,0.463100982,0.431242909,0.401920493,0.374281432,0.345920649,0.316004649,0.286119995,0.258242601,0.232603038,0.208756787,0.187764708,0.250405455,0.250405151,0.250404796,0.250404766,0.250404746,0.250404579,0.25040454,0.250404386,0.250404333,0.250404209
AP,OCE,0.388396,0.291874095,0.224863875,0.205404006,0.192777439,0.180884962,0.168949079,0.157326577,0.146629137,0.13654582,0.126199204,0.115285211,0.104382655,0.094212389,0.084858531,0.076158912,0.068500555,0.091353231,0.091353121,0.091352991,0.09135298,0.091352973,0.091352912,0.091352897,0.091352841,0.091352822,0.091352777
AP,RSAS,0.417044,0.313402662,0.241449783,0.220554558,0.206996658,0.194226995,0.181410725,0.16893095,0.157444468,0.146617409,0.135507628,0.123788622,0.112081895,0.101161473,0.091117677,0.081776376,0.073553141,0.098091425,0.098091306,0.098091166,0.098091155,0.098091147,0.098091082,0.098091066,0.098091006,0.098090985,0.098090937
AP,RSAF,0.786528,0.591064657,0.455364457,0.415956915,0.390387268,0.366304202,0.342133239,0.318596891,0.296933856,0.276514462,0.255561869,0.2334603,0.21138189,0.190786418,0.171844228,0.154226915,0.138718228,0.184996432,0.184996208,0.184995945,0.184995923,0.184995909,0.184995785,0.184995756,0.184995642,0.184995604,0.184995512
PCC,CAN,0.511577,0.346271207,0.232196583,0.196948398,0.160095626,0.12394908,0.09596036,0.090882775,0.086293602,0.081877077,0.077071289,0.071661039,0.065984664,0.060483547,0.055156791,0.049907369,0.045180054,0.060701974,0.061170712,0.061582294,0.061938977,0.062258377,0.062536143,0.06276448,0.062944634,0.063077337,0.063152155
PCC,USA,5.39382,3.609095695,2.163320851,1.640146824,1.333165132,1.065670471,0.826893427,0.777094027,0.733618818,0.693637956,0.651564992,0.604930261,0.556560347,0.510348579,0.466777203,0.425096809,0.387993178,0.525350926,0.533109944,0.540072592,0.546229178,0.551701293,0.556426182,0.560321402,0.563402656,0.565670846,0.566945403
PCC,MEX,0.572878,0.445295244,0.330618513,0.328267916,0.32272901,0.310557922,0.296443683,0.274023754,0.253588507,0.234788614,0.21612471,0.197008215,0.178203214,0.160770139,0.144868255,0.130228417,0.117394658,0.15689054,0.157190945,0.157469351,0.157720773,0.157942666,0.158132578,0.158290128,0.158414356,0.158505993,0.158557283
PCC,RCAM,0.302334,0.253928657,0.218383084,0.22180285,0.22533325,0.225186772,0.217522079,0.20069215,0.185403072,0.171331248,0.157317092,0.142925042,0.128814127,0.115825238,0.104025751,0.093176681,0.083668456,0.111371846,0.111155312,0.110964454,0.110798684,0.110650417,0.110521574,0.110415477,0.110331897,0.110270235,0.110235484
PCC,BRA,1.57743,1.131415164,0.747005931,0.495800288,0.458489894,0.453626687,0.467472062,0.427438266,0.390912851,0.357093472,0.323590785,0.289661579,0.256944874,0.227293888,0.200845005,0.177044893,0.156373574,0.204484091,0.200482951,0.196900021,0.193738669,0.190927029,0.188496901,0.186494035,0.18491116,0.183744602,0.183089103
PCC,RSAM,1.38348,1.017833396,0.696640613,0.515305126,0.506519588,0.512638487,0.521240477,0.482577621,0.447210603,0.414209691,0.380798593,0.346004948,0.311617716,0.279821173,0.250844094,0.224152799,0.200745396,0.26648781,0.265274674,0.26418858,0.263230931,0.262378949,0.261641812,0.261035381,0.260555069,0.260201583,0.260003382
PCC,NAF,0.583268,0.512556483,0.521966114,0.52624133,0.520179172,0.505066992,0.48253939,0.449744591,0.419129222,0.389938621,0.359747077,0.327823251,0.296124528,0.26688269,0.240203877,0.215483655,0.193747309,0.258279359,0.258170094,0.25807321,0.257991123,0.257915611,0.257851707,0.257797588,0.257755993,0.257724312,0.257707665
PCC,WAF,1.817,1.531836057,1.504871757,1.483522344,1.538444238,1.687428156,1.840067955,1.79676124,1.750378747,1.700003509,1.634988401,1.550457286,1.453961104,1.356179844,1.259140833,1.161887562,1.073828141,1.472613527,1.512464585,1.548180203,1.579730434,1.607781991,1.632025046,1.651995474,1.667795177,1.67943214,1.685961205
PCC,EAF,0.283526,0.456866723,0.595260887,0.717959733,0.841792036,0.969905559,1.091916783,1.058840696,1.025014836,0.98912719,0.94519875,0.890807045,0.830310547,0.769743762,0.710263327,0.651320586,0.598167244,0.815214781,0.832479795,0.847930762,0.861564262,0.873690606,0.884169773,0.892805734,0.899636072,0.904664885,0.907491086
PCC,SAF,0.507151,0.355219015,0.227522398,0.191487002,0.167011213,0.147280664,0.127791173,0.118492057,0.110073067,0.102160678,0.094008987,0.085370271,0.076777701,0.068833105,0.06155015,0.054771434,0.048800129,0.06444799,0.063840854,0.063291962,0.062803406,0.062370282,0.061997184,0.061689235,0.061445579,0.061266153,0.061165279
PCC,WEU,3.13174,2.247260087,1.544537595,1.350991572,1.210095761,1.079075805,0.925341901,0.855157836,0.792806045,0.735693356,0.678827449,0.620365813,0.562918331,0.509813521,0.460788507,0.414577081,0.37365191,0.499468424,0.50066929,0.501727443,0.502646657,0.503469234,0.504183846,0.504771798,0.505236044,0.505576481,0.50576926
PCC,CEU,0.784933,0.574421341,0.385465786,0.347092497,0.313392727,0.276045746,0.237377419,0.214477914,0.194267999,0.175771792,0.157825061,0.140180232,0.123655396,0.109081187,0.096346478,0.085026921,0.075237818,0.098558663,0.096786144,0.09520468,0.09381386,0.092575355,0.091503592,0.090620847,0.089923112,0.08940921,0.08912026
PCC,TUR,0.435783,0.331492644,0.299270374,0.274148891,0.249671489,0.22670873,0.201793779,0.186860119,0.173158264,0.160365985,0.147392723,0.133850881,0.120471791,0.108133416,0.096938627,0.086677328,0.07769702,0.103230735,0.102840175,0.102493262,0.102189568,0.10191861,0.101683872,0.101490564,0.101337923,0.101225397,0.101162089
